Borough,Year,AveragePrice
City of London,1998,93735.49208731229
City of London,1999,107275.50479766102
City of London,2000,120815.51750800977
City of London,2001,134355.5302183585
City of London,2002,147895.54292870723
City of London,2003,161435.55563905597
City of London,2004,174975.5683494047
City of London,2005,188515.58105975343
City of London,2006,202055.5937701022
City of London,2007,215595.6064804509
City of London,2008,229135.61919079965
City of London,2009,242675.63190114842
City of London,2010,256215.64461149712
City of London,2011,269755.6573218459
City of London,2012,283295.6700321946
City of London,2013,296835.6827425433
City of London,2014,310375.69545289205
City of London,2015,323915.70816324075
City of London,2016,337455.7208735895
City of London,2017,350995.7335839382
City of London,2018,364535.746294287
Barking & Dagenham,1998,220385.38260322064
Barking & Dagenham,1999,248902.19372072624
Barking & Dagenham,2000,277419.00483823183
Barking & Dagenham,2001,305935.8159557375
Barking & Dagenham,2002,334452.6270732431
Barking & Dagenham,2003,362969.4381907487
Barking & Dagenham,2004,391486.2493082543
Barking & Dagenham,2005,420003.0604257599
Barking & Dagenham,2006,448519.87154326553
Barking & Dagenham,2007,477036.6826607711
Barking & Dagenham,2008,505553.4937782767
Barking & Dagenham,2009,534070.3048957824
Barking & Dagenham,2010,562587.1160132879
Barking & Dagenham,2011,591103.9271307936
Barking & Dagenham,2012,619620.7382482991
Barking & Dagenham,2013,648137.5493658048
Barking & Dagenham,2014,676654.3604833104
Barking & Dagenham,2015,705171.171600816
Barking & Dagenham,2016,733687.9827183216
Barking & Dagenham,2017,762204.7938358271
Barking & Dagenham,2018,790721.6049533328
Barnet,1998,158913.66165936083
Barnet,1999,189602.89783931323
Barnet,2000,220292.13401926562
Barnet,2001,250981.370199218
Barnet,2002,281670.60637917044
Barnet,2003,312359.84255912283
Barnet,2004,343049.0787390752
Barnet,2005,373738.3149190276
Barnet,2006,404427.55109898
Barnet,2007,435116.7872789324
Barnet,2008,465806.0234588848
Barnet,2009,496495.2596388372
Barnet,2010,527184.4958187896
Barnet,2011,557873.731998742
Barnet,2012,588562.9681786944
Barnet,2013,619252.2043586468
Barnet,2014,649941.4405385992
Barnet,2015,680630.6767185515
Barnet,2016,711319.912898504
Barnet,2017,742009.1490784563
Barnet,2018,772698.3852584087
Bexley,1998,210223.73200956942
Bexley,1999,248856.00347208642
Bexley,2000,287488.2749346034
Bexley,2001,326120.54639712046
Bexley,2002,364752.81785963743
Bexley,2003,403385.0893221544
Bexley,2004,442017.36078467144
Bexley,2005,480649.6322471884
Bexley,2006,519281.90370970545
Bexley,2007,557914.1751722225
Bexley,2008,596546.4466347394
Bexley,2009,635178.7180972565
Bexley,2010,673810.9895597735
Bexley,2011,712443.2610222904
Bexley,2012,751075.5324848074
Bexley,2013,789707.8039473245
Bexley,2014,828340.0754098415
Bexley,2015,866972.3468723585
Bexley,2016,905604.6183348756
Bexley,2017,944236.8897973924
Bexley,2018,982869.1612599095
Brent,1998,256038.1121593885
Brent,1999,287374.43272365915
Brent,2000,318710.7532879298
Brent,2001,350047.07385220047
Brent,2002,381383.3944164711
Brent,2003,412719.71498074185
Brent,2004,444056.03554501245
Brent,2005,475392.35610928317
Brent,2006,506728.6766735538
Brent,2007,538064.9972378245
Brent,2008,569401.3178020951
Brent,2009,600737.6383663658
Brent,2010,632073.9589306365
Brent,2011,663410.2794949072
Brent,2012,694746.6000591777
Brent,2013,726082.9206234484
Brent,2014,757419.2411877192
Brent,2015,788755.5617519898
Brent,2016,820091.8823162605
Brent,2017,851428.2028805311
Brent,2018,882764.5234448018
Bromley,1998,176929.25667387806
Bromley,1999,204761.01075952745
Bromley,2000,232592.76484517683
Bromley,2001,260424.51893082622
Bromley,2002,288256.2730164756
Bromley,2003,316088.027102125
Bromley,2004,343919.7811877744
Bromley,2005,371751.5352734237
Bromley,2006,399583.28935907315
Bromley,2007,427415.0434447225
Bromley,2008,455246.79753037187
Bromley,2009,483078.55161602126
Bromley,2010,510910.30570167064
Bromley,2011,538742.05978732
Bromley,2012,566573.8138729694
Bromley,2013,594405.5679586187
Bromley,2014,622237.3220442683
Bromley,2015,650069.0761299175
Bromley,2016,677900.8302155669
Bromley,2017,705732.5843012163
Bromley,2018,733564.3383868657
Camden,1998,170201.68345878882
Camden,1999,190160.65985580784
Camden,2000,210119.63625282687
Camden,2001,230078.6126498459
Camden,2002,250037.58904686492
Camden,2003,269996.56544388394
Camden,2004,289955.541840903
Camden,2005,309914.518237922
Camden,2006,329873.494634941
Camden,2007,349832.47103196004
Camden,2008,369791.4474289791
Camden,2009,389750.4238259981
Camden,2010,409709.4002230171
Camden,2011,429668.37662003614
Camden,2012,449627.3530170552
Camden,2013,469586.3294140742
Camden,2014,489545.3058110932
Camden,2015,509504.2822081122
Camden,2016,529463.2586051313
Camden,2017,549422.2350021503
Camden,2018,569381.2113991693
Croydon,1998,92969.20400475708
Croydon,1999,106090.30066717017
Croydon,2000,119211.39732958327
Croydon,2001,132332.49399199637
Croydon,2002,145453.59065440946
Croydon,2003,158574.68731682256
Croydon,2004,171695.78397923565
Croydon,2005,184816.88064164875
Croydon,2006,197937.97730406185
Croydon,2007,211059.07396647494
Croydon,2008,224180.17062888804
Croydon,2009,237301.26729130113
Croydon,2010,250422.36395371423
Croydon,2011,263543.46061612736
Croydon,2012,276664.55727854045
Croydon,2013,289785.65394095355
Croydon,2014,302906.75060336664
Croydon,2015,316027.84726577974
Croydon,2016,329148.94392819284
Croydon,2017,342270.04059060593
Croydon,2018,355391.137253019
Ealing,1998,128319.0164183368
Ealing,1999,144699.20569102018
Ealing,2000,161079.39496370355
Ealing,2001,177459.5842363869
Ealing,2002,193839.77350907028
Ealing,2003,210219.96278175365
Ealing,2004,226600.15205443703
Ealing,2005,242980.34132712038
Ealing,2006,259360.53059980378
Ealing,2007,275740.7198724871
Ealing,2008,292120.9091451705
Ealing,2009,308501.0984178539
Ealing,2010,324881.2876905372
Ealing,2011,341261.47696322063
Ealing,2012,357641.666235904
Ealing,2013,374021.8555085873
Ealing,2014,390402.0447812707
Ealing,2015,406782.23405395413
Ealing,2016,423162.4233266375
Ealing,2017,439542.6125993208
Ealing,2018,455922.8018720042
Enfield,1998,169978.8501486008
Enfield,1999,198662.59880465636
Enfield,2000,227346.34746071196
Enfield,2001,256030.0961167675
Enfield,2002,284713.8447728231
Enfield,2003,313397.5934288787
Enfield,2004,342081.34208493424
Enfield,2005,370765.0907409898
Enfield,2006,399448.83939704543
Enfield,2007,428132.588053101
Enfield,2008,456816.3367091565
Enfield,2009,485500.0853652122
Enfield,2010,514183.8340212677
Enfield,2011,542867.5826773233
Enfield,2012,571551.3313333788
Enfield,2013,600235.0799894345
Enfield,2014,628918.82864549
Enfield,2015,657602.5773015455
Enfield,2016,686286.3259576012
Enfield,2017,714970.0746136566
Enfield,2018,743653.8232697123
Greenwich,1998,202261.39930176927
Greenwich,1999,228554.85456345236
Greenwich,2000,254848.30982513548
Greenwich,2001,281141.7650868186
Greenwich,2002,307435.2203485017
Greenwich,2003,333728.6756101848
Greenwich,2004,360022.1308718679
Greenwich,2005,386315.58613355097
Greenwich,2006,412609.0413952341
Greenwich,2007,438902.4966569172
Greenwich,2008,465195.9519186003
Greenwich,2009,491489.40718028345
Greenwich,2010,517782.8624419665
Greenwich,2011,544076.3177036496
Greenwich,2012,570369.7729653327
Greenwich,2013,596663.2282270158
Greenwich,2014,622956.6834886989
Greenwich,2015,649250.138750382
Greenwich,2016,675543.5940120651
Greenwich,2017,701837.0492737482
Greenwich,2018,728130.5045354313
Hackney,1998,224673.02649878757
Hackney,1999,283088.0133884724
Hackney,2000,341503.0002781571
Hackney,2001,399917.9871678419
Hackney,2002,458332.9740575267
Hackney,2003,516747.9609472114
Hackney,2004,575162.9478368962
Hackney,2005,633577.934726581
Hackney,2006,691992.9216162658
Hackney,2007,750407.9085059505
Hackney,2008,808822.8953956353
Hackney,2009,867237.8822853201
Hackney,2010,925652.8691750048
Hackney,2011,984067.8560646896
Hackney,2012,1042482.8429543743
Hackney,2013,1100897.8298440592
Hackney,2014,1159312.816733744
Hackney,2015,1217727.8036234286
Hackney,2016,1276142.7905131134
Hackney,2017,1334557.7774027982
Hackney,2018,1392972.764292483
Hammersmith & Fulham,1998,148569.40396673692
Hammersmith & Fulham,1999,174882.34636298456
Hammersmith & Fulham,2000,201195.2887592322
Hammersmith & Fulham,2001,227508.23115547985
Hammersmith & Fulham,2002,253821.1735517275
Hammersmith & Fulham,2003,280134.11594797514
Hammersmith & Fulham,2004,306447.0583442228
Hammersmith & Fulham,2005,332760.0007404704
Hammersmith & Fulham,2006,359072.94313671807
Hammersmith & Fulham,2007,385385.8855329657
Hammersmith & Fulham,2008,411698.82792921335
Hammersmith & Fulham,2009,438011.770325461
Hammersmith & Fulham,2010,464324.71272170864
Hammersmith & Fulham,2011,490637.6551179563
Hammersmith & Fulham,2012,516950.5975142039
Hammersmith & Fulham,2013,543263.5399104515
Hammersmith & Fulham,2014,569576.4823066993
Hammersmith & Fulham,2015,595889.4247029468
Hammersmith & Fulham,2016,622202.3670991946
Hammersmith & Fulham,2017,648515.3094954421
Hammersmith & Fulham,2018,674828.2518916898
Haringey,1998,91868.54244306292
Haringey,1999,104340.0550850216
Haringey,2000,116811.56772698027
Haringey,2001,129283.08036893894
Haringey,2002,141754.5930108976
Haringey,2003,154226.1056528563
Haringey,2004,166697.61829481495
Haringey,2005,179169.1309367736
Haringey,2006,191640.6435787323
Haringey,2007,204112.15622069096
Haringey,2008,216583.66886264965
Haringey,2009,229055.1815046083
Haringey,2010,241526.69414656697
Haringey,2011,253998.20678852563
Haringey,2012,266469.7194304843
Haringey,2013,278941.232072443
Haringey,2014,291412.74471440166
Haringey,2015,303884.2573563603
Haringey,2016,316355.769998319
Haringey,2017,328827.28264027764
Haringey,2018,341298.79528223636
Harrow,1998,131866.20787543885
Harrow,1999,158551.59540216648
Harrow,2000,185236.98292889414
Harrow,2001,211922.37045562177
Harrow,2002,238607.75798234943
Harrow,2003,265293.14550907706
Harrow,2004,291978.5330358047
Harrow,2005,318663.9205625323
Harrow,2006,345349.30808926
Harrow,2007,372034.69561598764
Harrow,2008,398720.0831427153
Harrow,2009,425405.47066944296
Harrow,2010,452090.85819617053
Harrow,2011,478776.2457228982
Harrow,2012,505461.6332496258
Harrow,2013,532147.0207763535
Harrow,2014,558832.4083030812
Harrow,2015,585517.7958298088
Harrow,2016,612203.1833565364
Harrow,2017,638888.5708832641
Harrow,2018,665573.9584099917
Havering,1998,243726.83498953047
Havering,1999,269162.40356098866
Havering,2000,294597.9721324468
Havering,2001,320033.54070390505
Havering,2002,345469.1092753632
Havering,2003,370904.6778468214
Havering,2004,396340.2464182796
Havering,2005,421775.81498973776
Havering,2006,447211.383561196
Havering,2007,472646.95213265414
Havering,2008,498082.52070411236
Havering,2009,523518.0892755706
Havering,2010,548953.6578470287
Havering,2011,574389.2264184869
Havering,2012,599824.794989945
Havering,2013,625260.3635614032
Havering,2014,650695.9321328615
Havering,2015,676131.5007043197
Havering,2016,701567.0692757778
Havering,2017,727002.637847236
Havering,2018,752438.2064186942
Hillingdon,1998,118409.3636443848
Hillingdon,1999,139729.09364301353
Hillingdon,2000,161048.82364164226
Hillingdon,2001,182368.55364027098
Hillingdon,2002,203688.28363889974
Hillingdon,2003,225008.01363752846
Hillingdon,2004,246327.7436361572
Hillingdon,2005,267647.4736347859
Hillingdon,2006,288967.20363341464
Hillingdon,2007,310286.93363204336
Hillingdon,2008,331606.6636306721
Hillingdon,2009,352926.3936293009
Hillingdon,2010,374246.12362792954
Hillingdon,2011,395565.85362655827
Hillingdon,2012,416885.583625187
Hillingdon,2013,438205.3136238158
Hillingdon,2014,459525.0436224445
Hillingdon,2015,480844.7736210732
Hillingdon,2016,502164.50361970195
Hillingdon,2017,523484.2336183307
Hillingdon,2018,544803.9636169594
Hounslow,1998,161382.31312718295
Hounslow,1999,183494.99770003918
Hounslow,2000,205607.68227289538
Hounslow,2001,227720.3668457516
Hounslow,2002,249833.05141860782
Hounslow,2003,271945.73599146405
Hounslow,2004,294058.4205643203
Hounslow,2005,316171.10513717646
Hounslow,2006,338283.7897100327
Hounslow,2007,360396.4742828889
Hounslow,2008,382509.1588557451
Hounslow,2009,404621.8434286014
Hounslow,2010,426734.52800145757
Hounslow,2011,448847.2125743138
Hounslow,2012,470959.89714717
Hounslow,2013,493072.5817200262
Hounslow,2014,515185.26629288244
Hounslow,2015,537297.9508657387
Hounslow,2016,559410.635438595
Hounslow,2017,581523.3200114511
Hounslow,2018,603636.0045843073
Islington,1998,247617.08354402392
Islington,1999,298378.58567054884
Islington,2000,349140.0877970737
Islington,2001,399901.58992359857
Islington,2002,450663.0920501235
Islington,2003,501424.5941766484
Islington,2004,552186.0963031733
Islington,2005,602947.5984296981
Islington,2006,653709.1005562231
Islington,2007,704470.602682748
Islington,2008,755232.1048092728
Islington,2009,805993.6069357978
Islington,2010,856755.1090623226
Islington,2011,907516.6111888476
Islington,2012,958278.1133153724
Islington,2013,1009039.6154418973
Islington,2014,1059801.117568422
Islington,2015,1110562.6196949473
Islington,2016,1161324.121821472
Islington,2017,1212085.6239479969
Islington,2018,1262847.1260745218
Kensington & Chelsea,1998,84481.86095906264
Kensington & Chelsea,1999,98475.54473650323
Kensington & Chelsea,2000,112469.22851394382
Kensington & Chelsea,2001,126462.91229138439
Kensington & Chelsea,2002,140456.596068825
Kensington & Chelsea,2003,154450.27984626556
Kensington & Chelsea,2004,168443.96362370613
Kensington & Chelsea,2005,182437.6474011467
Kensington & Chelsea,2006,196431.33117858734
Kensington & Chelsea,2007,210425.0149560279
Kensington & Chelsea,2008,224418.69873346848
Kensington & Chelsea,2009,238412.38251090908
Kensington & Chelsea,2010,252406.06628834966
Kensington & Chelsea,2011,266399.75006579026
Kensington & Chelsea,2012,280393.4338432308
Kensington & Chelsea,2013,294387.1176206714
Kensington & Chelsea,2014,308380.801398112
Kensington & Chelsea,2015,322374.48517555255
Kensington & Chelsea,2016,336368.1689529931
Kensington & Chelsea,2017,350361.85273043375
Kensington & Chelsea,2018,364355.5365078743
Kingston upon Thames,1998,188098.80514354206
Kingston upon Thames,1999,216425.0438231288
Kingston upon Thames,2000,244751.28250271553
Kingston upon Thames,2001,273077.52118230227
Kingston upon Thames,2002,301403.759861889
Kingston upon Thames,2003,329729.99854147574
Kingston upon Thames,2004,358056.2372210625
Kingston upon Thames,2005,386382.4759006492
Kingston upon Thames,2006,414708.71458023594
Kingston upon Thames,2007,443034.9532598227
Kingston upon Thames,2008,471361.1919394094
Kingston upon Thames,2009,499687.43061899615
Kingston upon Thames,2010,528013.669298583
Kingston upon Thames,2011,556339.9079781696
Kingston upon Thames,2012,584666.1466577563
Kingston upon Thames,2013,612992.3853373431
Kingston upon Thames,2014,641318.6240169299
Kingston upon Thames,2015,669644.8626965166
Kingston upon Thames,2016,697971.1013761032
Kingston upon Thames,2017,726297.3400556899
Kingston upon Thames,2018,754623.5787352768
Lambeth,1998,251023.3100744562
Lambeth,1999,285164.89184794476
Lambeth,2000,319306.4736214333
Lambeth,2001,353448.05539492186
Lambeth,2002,387589.6371684104
Lambeth,2003,421731.21894189896
Lambeth,2004,455872.8007153875
Lambeth,2005,490014.382488876
Lambeth,2006,524155.9642623646
Lambeth,2007,558297.5460358532
Lambeth,2008,592439.1278093418
Lambeth,2009,626580.7095828303
Lambeth,2010,660722.2913563189
Lambeth,2011,694863.8731298074
Lambeth,2012,729005.4549032958
Lambeth,2013,763147.0366767845
Lambeth,2014,797288.6184502731
Lambeth,2015,831430.2002237616
Lambeth,2016,865571.7819972502
Lambeth,2017,899713.3637707387
Lambeth,2018,933854.9455442273
Lewisham,1998,121454.51822377366
Lewisham,1999,131194.27532900276
Lewisham,2000,140934.03243423186
Lewisham,2001,150673.78953946097
Lewisham,2002,160413.54664469007
Lewisham,2003,170153.30374991917
Lewisham,2004,179893.06085514827
Lewisham,2005,189632.81796037738
Lewisham,2006,199372.5750656065
Lewisham,2007,209112.33217083558
Lewisham,2008,218852.0892760647
Lewisham,2009,228591.8463812938
Lewisham,2010,238331.60348652292
Lewisham,2011,248071.36059175202
Lewisham,2012,257811.1176969811
Lewisham,2013,267550.87480221025
Lewisham,2014,277290.6319074393
Lewisham,2015,287030.3890126684
Lewisham,2016,296770.14611789753
Lewisham,2017,306509.90322312666
Lewisham,2018,316249.66032835573
Merton,1998,178728.18546248547
Merton,1999,195252.57432354413
Merton,2000,211776.9631846028
Merton,2001,228301.35204566142
Merton,2002,244825.74090672008
Merton,2003,261350.12976777874
Merton,2004,277874.51862883737
Merton,2005,294398.907489896
Merton,2006,310923.2963509547
Merton,2007,327447.6852120133
Merton,2008,343972.07407307194
Merton,2009,360496.4629341306
Merton,2010,377020.85179518926
Merton,2011,393545.24065624794
Merton,2012,410069.6295173066
Merton,2013,426594.0183783652
Merton,2014,443118.4072394239
Merton,2015,459642.7961004825
Merton,2016,476167.18496154115
Merton,2017,492691.5738225998
Merton,2018,509215.96268365846
Newham,1998,243643.10747961162
Newham,1999,286467.82843761705
Newham,2000,329292.54939562245
Newham,2001,372117.27035362786
Newham,2002,414941.9913116334
Newham,2003,457766.7122696388
Newham,2004,500591.4332276442
Newham,2005,543416.1541856496
Newham,2006,586240.8751436551
Newham,2007,629065.5961016605
Newham,2008,671890.3170596659
Newham,2009,714715.0380176713
Newham,2010,757539.7589756767
Newham,2011,800364.4799336822
Newham,2012,843189.2008916875
Newham,2013,886013.921849693
Newham,2014,928838.6428076986
Newham,2015,971663.3637657039
Newham,2016,1014488.0847237094
Newham,2017,1057312.8056817146
Newham,2018,1100137.5266397202
Redbridge,1998,103970.50023666503
Redbridge,1999,119647.86424459521
Redbridge,2000,135325.22825252538
Redbridge,2001,151002.59226045557
Redbridge,2002,166679.95626838575
Redbridge,2003,182357.3202763159
Redbridge,2004,198034.6842842461
Redbridge,2005,213712.04829217627
Redbridge,2006,229389.41230010646
Redbridge,2007,245066.77630803664
Redbridge,2008,260744.1403159668
Redbridge,2009,276421.504323897
Redbridge,2010,292098.86833182717
Redbridge,2011,307776.2323397574
Redbridge,2012,323453.59634768753
Redbridge,2013,339130.9603556177
Redbridge,2014,354808.3243635479
Redbridge,2015,370485.68837147806
Redbridge,2016,386163.0523794082
Redbridge,2017,401840.41638733837
Redbridge,2018,417517.7803952686
Richmond upon Thames,1998,174214.26452127786
Richmond upon Thames,1999,204524.35190693417
Richmond upon Thames,2000,234834.43929259048
Richmond upon Thames,2001,265144.5266782468
Richmond upon Thames,2002,295454.6140639031
Richmond upon Thames,2003,325764.7014495594
Richmond upon Thames,2004,356074.78883521573
Richmond upon Thames,2005,386384.87622087204
Richmond upon Thames,2006,416694.96360652836
Richmond upon Thames,2007,447005.05099218467
Richmond upon Thames,2008,477315.138377841
Richmond upon Thames,2009,507625.2257634973
Richmond upon Thames,2010,537935.3131491536
Richmond upon Thames,2011,568245.4005348099
Richmond upon Thames,2012,598555.4879204662
Richmond upon Thames,2013,628865.5753061225
Richmond upon Thames,2014,659175.6626917789
Richmond upon Thames,2015,689485.7500774352
Richmond upon Thames,2016,719795.8374630915
Richmond upon Thames,2017,750105.9248487478
Richmond upon Thames,2018,780416.0122344041
Southwark,1998,215073.77463836627
Southwark,1999,260021.66074414548
Southwark,2000,304969.5468499247
Southwark,2001,349917.43295570393
Southwark,2002,394865.31906148314
Southwark,2003,439813.20516726235
Southwark,2004,484761.09127304156
Southwark,2005,529708.9773788208
Southwark,2006,574656.8634846
Southwark,2007,619604.7495903792
Southwark,2008,664552.6356961584
Southwark,2009,709500.5218019377
Southwark,2010,754448.4079077168
Southwark,2011,799396.2940134961
Southwark,2012,844344.1801192752
Southwark,2013,889292.0662250546
Southwark,2014,934239.9523308338
Southwark,2015,979187.838436613
Southwark,2016,1024135.7245423922
Southwark,2017,1069083.6106481713
Southwark,2018,1114031.4967539506
Sutton,1998,200422.38335910448
Sutton,1999,234933.78904142076
Sutton,2000,269445.1947237371
Sutton,2001,303956.60040605336
Sutton,2002,338468.00608836964
Sutton,2003,372979.4117706859
Sutton,2004,407490.8174530022
Sutton,2005,442002.2231353185
Sutton,2006,476513.6288176348
Sutton,2007,511025.03449995106
Sutton,2008,545536.4401822673
Sutton,2009,580047.8458645837
Sutton,2010,614559.2515468999
Sutton,2011,649070.6572292163
Sutton,2012,683582.0629115325
Sutton,2013,718093.4685938489
Sutton,2014,752604.8742761652
Sutton,2015,787116.2799584814
Sutton,2016,821627.6856407977
Sutton,2017,856139.091323114
Sutton,2018,890650.4970054303
Tower Hamlets,1998,164195.5147540965
Tower Hamlets,1999,178508.827450714
Tower Hamlets,2000,192822.14014733146
Tower Hamlets,2001,207135.45284394894
Tower Hamlets,2002,221448.7655405664
Tower Hamlets,2003,235762.0782371839
Tower Hamlets,2004,250075.39093380136
Tower Hamlets,2005,264388.70363041887
Tower Hamlets,2006,278702.0163270363
Tower Hamlets,2007,293015.32902365376
Tower Hamlets,2008,307328.64172027126
Tower Hamlets,2009,321641.95441688877
Tower Hamlets,2010,335955.2671135062
Tower Hamlets,2011,350268.57981012366
Tower Hamlets,2012,364581.89250674116
Tower Hamlets,2013,378895.20520335867
Tower Hamlets,2014,393208.5178999761
Tower Hamlets,2015,407521.83059659356
Tower Hamlets,2016,421835.14329321106
Tower Hamlets,2017,436148.4559898285
Tower Hamlets,2018,450461.768686446
Waltham Forest,1998,116872.8362536031
Waltham Forest,1999,142584.8602293958
Waltham Forest,2000,168296.8842051885
Waltham Forest,2001,194008.90818098118
Waltham Forest,2002,219720.93215677387
Waltham Forest,2003,245432.95613256653
Waltham Forest,2004,271144.98010835925
Waltham Forest,2005,296857.0040841519
Waltham Forest,2006,322569.0280599446
Waltham Forest,2007,348281.05203573726
Waltham Forest,2008,373993.07601152995
Waltham Forest,2009,399705.09998732264
Waltham Forest,2010,425417.12396311533
Waltham Forest,2011,451129.147938908
Waltham Forest,2012,476841.17191470065
Waltham Forest,2013,502553.19589049334
Waltham Forest,2014,528265.219866286
Waltham Forest,2015,553977.2438420787
Waltham Forest,2016,579689.2678178714
Waltham Forest,2017,605401.2917936641
Waltham Forest,2018,631113.3157694568
Wandsworth,1998,168337.8600363927
Wandsworth,1999,195271.9652462526
Wandsworth,2000,222206.07045611253
Wandsworth,2001,249140.17566597243
Wandsworth,2002,276074.28087583237
Wandsworth,2003,303008.38608569227
Wandsworth,2004,329942.4912955522
Wandsworth,2005,356876.5965054121
Wandsworth,2006,383810.70171527204
Wandsworth,2007,410744.80692513194
Wandsworth,2008,437678.91213499184
Wandsworth,2009,464613.0173448518
Wandsworth,2010,491547.12255471165
Wandsworth,2011,518481.2277645716
Wandsworth,2012,545415.3329744315
Wandsworth,2013,572349.4381842914
Wandsworth,2014,599283.5433941514
Wandsworth,2015,626217.6486040112
Wandsworth,2016,653151.7538138712
Wandsworth,2017,680085.859023731
Wandsworth,2018,707019.964233591
Westminster,1998,147029.2440893106
Westminster,1999,163458.4763425753
Westminster,2000,179887.70859584
Westminster,2001,196316.94084910466
Westminster,2002,212746.17310236936
Westminster,2003,229175.40535563405
Westminster,2004,245604.63760889875
Westminster,2005,262033.86986216344
Westminster,2006,278463.10211542813
Westminster,2007,294892.3343686928
Westminster,2008,311321.56662195746
Westminster,2009,327750.7988752222
Westminster,2010,344180.03112848685
Westminster,2011,360609.2633817516
Westminster,2012,377038.49563501624
Westminster,2013,393467.72788828093
Westminster,2014,409896.9601415456
Westminster,2015,426326.19239481026
Westminster,2016,442755.424648075
Westminster,2017,459184.65690133965
Westminster,2018,475613.8891546044
